#K-Path          Energy     s    py    pz    px    dxy    dyz    dz2    dxz    dx2-y2    tot
# NKPTS & NBANDS: 180  60
# Band-Index:    1
   2.79443    -55.044865  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.77382    -55.044676  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.75321    -55.044446  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   2.73260    -55.044176  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   2.71199    -55.043868  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   2.69138    -55.043521  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.67077    -55.043139  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.65017    -55.042721  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.62956    -55.042269  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   2.60895    -55.041786  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   2.58834    -55.041273  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   2.56773    -55.040734  0.990  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.990
   2.54712    -55.040166  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.52652    -55.039575  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.50591    -55.038963  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.48530    -55.038331  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.46469    -55.037681  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.44408    -55.037016  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.42347    -55.036338  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.40286    -55.035649  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.38226    -55.034952  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.36165    -55.034251  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.34104    -55.033545  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.32043    -55.032839  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.29982    -55.032134  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
   2.27921    -55.031433  0.992  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.992
   2.25860    -55.030738  0.991  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.000  0.991
